SampleID	LUCAS_ID	Elevation	Erosion_risk	Slope	Aspect	Sample_month	Precipitation_in_sample_month	Temperature_in_sample_month	AvTemp2000_2018	AvPrec2000_2018	bas	Cmic	qO2	Water_content	BARCODE_ID	LC1_2018	LC_simpl_2018	LU1_2018	LU1_2015	Depth	Coarse_fragments	Clay	Sand	Silt	pH	Electrical_conductivity	Organic_carbon	Carbonates	P	N	K	Bulk_density	bioregions	Aridity_in_sample_month	Bioregions_chr	LC_num	C:N	Sample_season	Soil_depth	Mean_annual_temperature	Mean_diurnal_range	Isothermality	Temperature_seasonality	Max_temperature_of_warmest month	Min_temperature_of_coldest month	Temperature_annual_range	Mean_temperature_of_the_wettest_quarter	Mean_temperature_of_driest_quarter	Mean_temperature_of_warmest_quarter	Mean_temperature_of_coldest_quarter	Total_annual_precipitation	Precipitation_of_wettest_month	Precipitation_of_driest_month	Precipitation_seasonality	Precipitation_of_wettest_quarter	Precipitation_of_driest_quarter	Precipitation_of_warmest_quarter	Precipitation_of_coldest_quarter	Sample_date	SSM	SSMA	Project
Lucas0129	52683688	113.7566605	0.677592539	0	15.52941176	6	41.82740784	17.01126051	7.189702862	48.23771708	0.411282638	237.0358935	0.001735107	12.73906536	Lucas0129	CL_annual	Cropland	U111	U111	0-20	67	27	27	46	6.8	16.06	12.8	1	21.6	1.5	114.1	1.379514048	7	0.8363598	continental	1	8.533333333	Summer	1951	6.062499993	8.208333448	27.09020965	835.3636234	22.39999962	-7.900000095	30.29999971	16.19999997	-3.566666683	16.19999997	-4.283333321	619	74	28	29.11884862	214	98	214	112	26.06.2018	4.44549036	-0.714353621	LUCAS
Lucas0131	46482614	562.1345215	8.111724668	0	132.7058824	5	119.8358688	15.31393719	8.999492043	94.69496034	1.127908952	55.00435989	0.02050581	15.562249	Lucas0131	GL_managed	Grassland	U111	U111	0-20	23	12	37	51	6.2	32.5	27.8	1	17.1	3.2	78.8	1.067405006	7	2.48035817	continental	3	8.6875	Spring	1935	7.608333391	10.26666683	32.69639109	787.8562259	24	-7.400000095	31.4000001	17.10000006	-2.383333335	17.10000006	-2.383333335	1211	140	51	30.3188976	398	179	398	179	16.05.2018	23.29684067	0.669216037	LUCAS
Lucas0132	43682854	425.2653198	1.229751812	0	337.4117647	5	81.55426788	15.85169458	9.369773137	57.23169588	2.061143573	655.7669727	0.003143104	20.60967528	Lucas0132	GL_managed	Grassland	U111	U111	0-20	12	36	14	50	6.6	21.3	47.5	4	41.2	4.6	334.1	1.05578841	6	1.669425566	boreal	3	10.32608696	Spring	2407	8.479166599	8.858333246	32.80864165	697.7543749	23.5	-3.5	27	15.54999987	1.266666595	17.11666648	-0.049999992	734	88	44	24.26801919	249	135	242	148	19.05.2018	11.3555069	-0.816547513	LUCAS
Lucas0133	41642978	214.6276093	1.938810637	0	216	5	66.53720093	16.64195442	10.03366079	54.36856621	0.475879794	234.2531963	0.002031476	16.18889809	Lucas0133	CL_permanent	Cropland	U111	U111	0-20	8	32	12	56	6.91	17.6	12.9	1	61.5	1.5	394.8	1.24943208	7	1.34034209	continental	1	8.6	Spring	1779	9.366666615	8.199999849	32.93172633	640.5939418	23.5	-1.399999976	24.89999998	15.86666663	5.199999968	17.43333324	1.700000008	558	61	37	16.63751333	171	112	163	125	25.05.2018	17.43945313	0.421089917	LUCAS
Lucas0134	28722216	788.6762695	2.151146276	0	155.2941176	4	151.0021973	10.30621314	13.03585088	70.84216389	2.540816327	407.0952381	0.006241331	38.50726552	Lucas0134	GL_managed	Grassland	U111	U111	0-20	6	22	8	69	4.6	38.9	47.5	0	10.4	4.5	46	0.632381499	9	3.486848337	mediterranean	3	10.55555556	Spring	896	11.58333341	9.083333343	38.1652668	529.5295255	25.39999962	1.600000024	23.79999959	6.400000075	18.4000001	18.48333343	5.666666726	1222	170	18	51.99859102	487	94	101	486	30.04.2018	21.48077965	0.598481357	LUCAS
Lucas0135	53644594	151.2492523	0.001873356	0	292.2352941	5	16.86771393	11.78683352	3.033577731	45.29297317	0.525887038	95.9217958	0.005482456	8.376181788	Lucas0135	WL_coniferous	Woodland	U120	U120	0-20	11	3	82	15	4.77	2.37	14.5	0	17	0.6	14.2	1.297111954	7	0.376622159	continental	2	24.16666667	Spring	1442	1.912500143	7.858333399	22.13615042	977.5482505	21	-14.5	35.5	12.45000013	-4.916666538	14.36666695	-9.999999921	644	82	33	31.45580788	226	103	225	125	26.05.2018	11.389081	-0.584432006	LUCAS
Lucas0136	33662020	1029.590576	2.125366383	90	0	5	86.2472229	14.43947148	11.49487857	31.00461317	0.775653862	269.2929183	0.002880335	9.431162407	Lucas0136	Other bare soil	Bareland	U420	U420	0-20	73	24	44	31	8.16	20.8	21.3	310	21.6	1.5	241	1.471191561	7	1.818047719	continental	Bareland	14.2	Spring	3004	11.50833331	14.56666656	43.35317471	671.0129181	30.89999962	-2.700000048	33.59999967	13.48333331	5.033333266	20.2833333	3.933333238	430	64	19	36.86047394	158	66	120	72	15.05.2018	9.642580032	0.455218077	LUCAS
Lucas0137	43843470	11.04372406	0.282330725	0	232.9411765	5	16.68953896	15.19037533	9.677697633	48.44420062	1.009118541	399.8421986	0.002523792	12.93417135	Lucas0137	A30	Others	U319	U319	0-20	5	17	54	29	7.43	17.6	34.4	56	56.7	3.2	209.3	1.452841981	6	0.34632515	boreal	Others	10.75	Spring	1789	8.662499937	6.541666682	29.07407414	605.4717269	21.5	-1	22.5	15.89999962	3.916666677	16.3499999	1.666666687	663	67	38	15.9572943	187	130	183	157	14.05.2018	10.4619034	-0.0561357	LUCAS
Lucas0139	29302338	1102.2052	6.851566871	12.57811866	292.2352941	5	90.98808289	10.73375726	10.4569272	71.23647489	2.503568962	508.3582777	0.004924812	28.69807913	Lucas0139	GL_managed	Grassland	U111	U111	0-20	53	17	31	52	5.57	31.4	43.2	1	61.8	4.8	157.8	0.97450446	4	2.080500021	atlantic	3	9	Spring	1598	9.30833333	9.483333324	39.34993203	531.8955524	23.29999924	-0.800000012	24.09999925	4.116666729	16.13333337	16.2166667	3.299999982	1371	177	41	40.98118543	507	151	168	478	29.05.2018	19.36702347	0.088404804	LUCAS
Lucas0140	32202298	614.399231	2.106611994	90	0	5	83.93772125	13.45424557	10.42937505	53.79863317	1.605474453	257.8452555	0.006226504	9.331568498	Lucas0140	WL_coniferous	Woodland	U420	NA	0-20	24	8	83	8	4.92	7.92	16.1	1	3.4	1.6	249	1.067405006	4	1.806890204	atlantic	2	10.0625	Spring	2173	11.66666667	10.36666678	42.48633787	514.6196007	25.70000076	1.299999952	24.40000081	6.533333341	18.31666676	18.31666676	5.833333274	803	89	40	25.03034677	249	136	136	226	27.05.2018	19.2074604	0.645763874	LUCAS
Lucas0141	27501780	230.0370026	3.575171464	11.47834095	358.5882353	5	14.38840008	17.25928354	16.84071089	34.4550188	0.401233539	257.6196033	0.001557465	0.74454004	Lucas0141	D10	Shrubland	U415	U111	0-20	56	18	50	32	6.31	3.17	6.2	0	3	0.9	67.2	1.526131004	9	0.28628343	mediterranean	Shrubland	6.888888889	Spring	1785	16.73749991	11.37499992	42.92452955	529.7302975	32.29999924	5.800000191	26.49999905	11.71666654	23.44999949	23.68333308	10.78333346	565	105	3	67.66705613	264	22	27	247	21.05.2018	6.216430664	0.316804796	LUCAS
Lucas0142	40002866	253.1908722	0.692952151	90	0	5	87.18852997	15.79582357	10.81739225	60.27633366	3.345522543	785.9333749	0.004256751	19.91680532	Lucas0142	WL_broadleaved	Woodland	U120	U111	NA	33	45	9	46	7.18	66.2	78.1	177	28.2	6.3	219.2	1.067405006	7	1.786803123	continental	2	12.3968254	Spring	1753	9.766666663	8.249999975	33.95061717	612.1101064	23.5	-0.800000012	24.30000001	17.43333324	5.716666599	17.43333324	2.450000058	689	73	44	15.84906117	205	141	205	171	23.05.2018	16.85297775	0.064826749	LUCAS
Lucas0143	43283052	701.0300903	2.883957883	7.252246865	97.41176471	5	74.49750519	14.78548479	8.823988613	63.58822833	3.353003384	849.8722504	0.003945303	32.45714286	Lucas0143	GL_managed	Grassland	U111	U111	0-20	17	27	12	61	5.98	32.8	61.7	7	35.4	6.2	196.7	0.765722831	6	1.558998627	boreal	3	9.951612903	Spring	1601	6.712499988	6.924999941	28.49794136	663.8665162	20.20000076	-4.099999905	24.30000067	-0.2	10.03333308	14.9333334	-1.266666638	1163	134	75	16.7556056	355	248	267	337	22.05.2018	17.96007729	-0.166047454	LUCAS
Lucas0144	43022764	585.8643188	2.297743148	0	245.6470588	5	89.9407959	15.13452196	9.122785443	81.99835205	1.969776876	583.6712644	0.003374805	18.36396754	Lucas0144	GL_managed	Grassland	U111	U111	0-20	2	15	38	47	6.05	22.5	25.1	1	28.8	3	108.8	1.091236444	7	1.86852995	continental	3	8.366666667	Spring	2218	7.954166618	8.108333334	31.30630735	683.2091929	22.29999924	-3.599999905	25.89999914	16.41666651	0.866666665	16.41666651	-0.366666675	933	117	47	31.97435927	335	150	335	155	28.05.2018	13.67843437	-0.982053339	LUCAS
Lucas0145	31222178	787.4219971	4.44745222	90	0	5	51.4349823	14.15936303	12.0606837	32.32516459	0.349620893	356.4967706	0.000980713	21.88219809	Lucas0145	CL_annual	Cropland	U111	U111	0-20	12	47	6	47	8.03	36.4	13.3	631	28	1.7	517.7	1.115438229	4	1.090663211	atlantic	1	7.823529412	Spring	1684	11.9458333	12.07500002	40.11627863	647.380942	29.60000038	-0.5	30.10000038	8.100000014	20.23333311	20.25	4.516666586	404	47	15	33.87167267	133	53	69	114	30.05.2018	14.06272888	0.569225371	LUCAS
Lucas0146	47044134	78.90359497	0.035465584	0	103.0588235	5	10.39928818	14.23032212	6.095684566	42.84261181	2.259642047	304.2426687	0.007427104	34.42975207	Lucas0146	WL_coniferous	Woodland	U120	U120	0-20	4	4	76	20	4.4	9.81	89.4	0	36.8	4.4	97.7	0.570774186	6	0.220182453	boreal	2	20.31818182	Spring	505	5.641666693	8.966666862	29.69095006	771.4179213	22.5	-7.699999809	30.19999981	14.34999998	-2.716666665	15.5333333	-3.533333331	607	75	27	30.74625991	212	100	209	113	23.05.2018	10.98961639	-0.508259654	LUCAS
Lucas0147	44942974	605.270874	0.629874174	0	148.2352941	5	56.86676407	14.62813902	8.514709673	57.95477616	1.258996289	609.2202679	0.00206657	11.93690493	Lucas0147	GL_managed	Grassland	U111	U111	0-20	13	18	52	30	6.08	14.02	50.6	1	21.9	4.5	151.4	0.960111651	6	1.193974093	boreal	3	11.24444444	Spring	1221	6.687499966	8.09166664	31.24195602	683.8298705	21	-4.900000095	25.9000001	15.13333321	2.183333337	15.13333321	-1.599999992	728	86	45	21.14712769	238	142	238	168	23.05.2018	12.02318001	-0.62122488	LUCAS
Lucas0148	52142764	113.2900009	1.321710971	0	316.2352941	5	55.35176468	19.68650913	11.48909669	47.69818587	0.688277422	104.0237467	0.006616541	12.3699422	Lucas0148	CL_annual	Cropland	U111	U111	0-20	61	29	17	54	6.02	9.73	15.3	1	22.3	1.6	229	1.515071361	6	1.050587059	boreal	1	9.5625	Spring	2694	10.00416667	10.20833328	33.14393901	813.8585416	26.10000038	-4.699999809	30.80000019	18.30000003	1.350000016	19.55000019	-0.416666667	571	77	31	29.04887236	203	101	190	115	28.05.2018	8.698907852	-0.277727574	LUCAS
Lucas0149	43623698	-0.508355021	0.421521939	0	214.5882353	5	18.98449707	14.28125191	8.866131431	51.61323066	0.440842491	167.1350427	0.002637642	10.09385806	Lucas0149	CL_annual	Cropland	U111	U111	0-20	9	5	88	7	6.26	9.95	13.9	0	41.7	1.4	79.3	1.669745967	1	0.401522724	alpine	1	9.928571429	Spring	2077	7.82916673	7.808333516	33.5121604	593.6384716	21.10000038	-2.200000048	23.30000043	12.4000001	2.950000028	15.35000006	0.983333309	654	69	35	21.7509102	202	114	185	141	20.05.2018	14.78317738	-0.07548333	LUCAS
Lucas0150	42583038	262.6848145	3.652883384	7.252246865	357.1764706	5	76.85358429	16.26504469	9.692931828	61.45882215	1.682776981	361.7120623	0.004652256	18.61666667	Lucas0150	GL_managed	Grassland	U111	U111	0-20	3	19	5	76	6.02	16.96	19.5	0	35.3	2.3	90.5	1.052170023	9	1.560002326	mediterranean	3	8.47826087	Spring	1742	8.754166583	7.674999595	31.32652957	644.5627703	22.39999962	-2.099999905	24.49999952	4.799999972	4.549999972	16.78333314	0.983333329	910	94	60	13.34044375	257	195	236	231	22.05.2018	14.43294048	0.04896114	LUCAS
Lucas0151	51343172	184.9870911	1.459689928	0	201.8823529	5	43.59327316	17.25974131	8.96608581	43.30920209	0.27985803	144.9664596	0.001930502	5.832219251	Lucas0151	CL_annual	Cropland	U111	U111	0-20	3	1	90	9	5.97	16.06	10.1	0	58.9	1	34.9	1.307027137	6	0.867359681	boreal	1	10.1	Spring	2471	7.966666575	8.083333253	27.97001162	787.8288084	23.39999962	-5.5	28.89999962	17.54999987	-0.700000018	17.54999987	-1.800000002	526	75	22	40.70620397	208	75	208	78	19.05.2018	7.4646945	-0.833067179	LUCAS
Lucas0152	50863206	177.759964	0.644948526	0	249.8823529	5	39.48921967	17.45109653	8.926927767	43.18425911	0.778903904	295.5888388	0.002635092	11.12593828	Lucas0152	GL_managed	Grassland	U111	U111	0-20	4	7	76	17	4.92	15.74	11.5	0	17	1.3	66.5	1.094677582	7	0.782722723	continental	3	8.846153846	Spring	2398	8.266666679	8.666666693	28.79291315	796.7500286	24.29999924	-5.800000191	30.09999943	18	-0.533333377	18	-1.650000012	542	76	24	36.37246211	208	82	208	89	25.05.2018	8.879036903	-0.55398196	LUCAS
Lucas0153	51503186	134.4858093	0.005179753	0	175.0588235	5	39.43797302	17.48717976	9.034271541	43.87096124	0.518659955	56.20737141	0.009227614	4.270521768	Lucas0153	WL_broadleaved	Woodland	U120	U111	0-20	2	2	95	3	4.56	5.43	8.2	0	55.7	0.6	30.6	1.219288153	6	0.781148268	boreal	2	13.66666667	Spring	1648	8.129166721	8.174999978	28.18965463	788.8670264	23.60000038	-5.400000095	29.00000048	17.70000029	-0.533333338	17.70000029	-1.683333334	494	69	22	38.97933566	190	71	190	74	19.05.2018	7.271723747	-0.656181157	LUCAS
Lucas0154	40102842	336.3961182	0.486945366	12.57811866	134.1176471	7	34.07181549	21.37175465	10.78243677	63.16065457	1.883007117	851.168446	0.002212261	25.26595745	Lucas0154	WL_broadleaved	Woodland	U120	U120	0-10	27	42	17	40	6.9	27.1	98.9	10	13.9	5.8	629.3	0.978606371	7	0.626645502	continental	2	17.05172414	Summer	1835	9.287500132	8.025000356	33.29875564	609.9855711	22.70000076	-1.399999976	24.10000074	15.23333343	5.233333389	16.90000025	1.966666715	764	78	48	13.43805994	215	161	213	198	01.07.2018	9.288373947	-0.214029223	LUCAS
Lucas0155	34902366	90.18803406	3.132669628	90	0	7	80.2339325	22.39460087	13.83528479	70.12813468	0.619166029	109.7987758	0.005639098	13.0550474	Lucas0155	CL_annual	Cropland	U111	U111	0-20	3	9	63	28	6.06	11.33	9.4	1	38.2	1	116.3	1.567930949	4	1.448407087	atlantic	1	9.4	Summer	1784	12.65416657	10.2583333	41.87074753	532.1160917	25.60000038	1.100000024	24.50000036	6.966666559	19.23333327	19.23333327	6.316666543	1044	119	57	17.60446976	318	211	211	309	02.07.2018	13.51681042	1.630286336	LUCAS
Lucas0156	30862182	844.7510986	0.675639447	90	0	5	50.1136322	13.62040186	12.43579644	31.60603413	0.975272774	266.5495513	0.00365888	14.66115702	Lucas0156	Other bare soil	Bareland	U112	U111	0-20	66	36	18	46	7.91	27	13	49	22.3	1.6	290.3	1.115236175	9	1.07492922	mediterranean	Bareland	8.125	Spring	2890	11.64583332	11.75833347	39.45749587	638.0562028	29.29999924	-0.5	29.79999924	5.066666573	19.96666654	19.96666654	4.433333352	464	56	19	31.69466127	154	70	70	138	30.05.2018	12.81623077	0.498891294	LUCAS
Lucas0157	28442408	396.2301941	0.994688782	0	14.11764706	5	87.92126465	13.8012886	13.27146189	95.50633561	1.910791367	577.098801	0.00331103	30.5	Lucas0157	D20	Shrubland	U111	U111	0-20	12	17	22	62	6.09	33.5	92.7	3	9.2	8.3	114.3	0.71897511	4	1.878607775	atlantic	Shrubland	11.1686747	Spring	1277	12.39166655	8.383333246	44.83065953	379.9750758	23	4.300000191	18.69999981	8.916666587	17.08333317	17.43333324	8.166666587	1557	221	38	44.71898877	600	160	193	599	29.05.2018	12.78773403	-0.693074048	LUCAS
Lucas0158	41823036	123.6143036	1.578690611	0	254.1176471	5	65.95696259	16.82612944	10.00089098	62.92211713	0.554177795	401.5202849	0.001380199	13.05357439	Lucas0158	CL_annual	Cropland	U111	U111	0-20	9	19	10	71	6.59	14.84	22	3	33.1	2.2	298.8	1.474662678	6	1.323742449	boreal	1	10	Spring	2615	9.604166666	8.924999954	34.59302202	636.2048625	24.20000076	-1.600000024	25.80000079	16.16666667	5.450000068	17.6500001	1.950000004	658	68	45	13.15774402	189	142	178	160	24.05.2018	13.58839989	-0.212381423	LUCAS
Lucas0159	53064642	134.3118134	0.027397792	0	214.5882353	5	22.04473495	11.79886913	2.635934271	42.75102214	13.21466905	1685.142516	0.00784187	90.78622054	Lucas0159	WL_coniferous	Woodland	U120	U120	0-20	21.68978102	20.05210918	39.89454094	39.80887097	4.13	18.24	379.8	0	71.3	11.4	380.7	0.263972944	6	0.492082398	boreal	2	33.31578947	Spring	1526	1.724999997	8.383333415	22.90528232	988.7078379	21.10000038	-15.5	36.60000038	12.28333354	-5.083333477	14.2166667	-10.45000005	626	80	31	33.11465133	225	96	224	115	28.05.2018	12.35528183	-0.807263017	LUCAS
Lucas0160	37902328	768.6518555	0.708731764	90	0	5	94.94775391	13.99928236	13.12749597	70.89535021	0	534.0044971	0	9.622672598	Lucas0160	D10	Shrubland	U111	U420	0-20	31	28	20	53	7.21	22.95	67.9	11	5.5	6.3	229.8	0.800393065	7	2.020195823	continental	Shrubland	10.77777778	Spring	1898	10.4166667	8.733333371	34.51910422	599.7512137	25	-0.300000012	25.30000001	7.250000129	18.1500001	18.1500001	3.716666635	893	120	33	29.58723565	294	142	142	254	29.05.2018	24.06425476	0.834494591	LUCAS
Lucas0161	50022946	594.390625	0.340087198	7.252246865	189.1764706	5	83.46846008	14.46945024	6.725321218	75.56588846	2.497313561	514.0303747	0.0048583	22.59191482	Lucas0161	GL_managed	Grassland	U111	U111	0-20	12	36	13	51	5.42	5.2	23.5	1	2.5	3.2	149.3	1.188645439	6	1.758361634	boreal	3	7.34375	Spring	2345	6.033333398	10.35000003	34.73154462	730.4616707	21.79999924	-8	29.79999924	14.81666676	1.400000001	14.81666676	-3.150000012	905	112	53	27.85206371	316	166	316	177	22.05.2018	14.90477467	-1.052197218	LUCAS
Lucas0162	49704436	129.7693176	0.003287984	0	107.2941176	6	49.25852966	13.77066755	4.178560696	38.83980304	1.109465318	260.5544316	0.004258094	7.76407864	Lucas0162	WL_coniferous	Woodland	U120	U120	0-20	6	4	84	12	4.32	5.84	73.9	0	19.3	2.2	73.5	1.067405006	6	1.053192786	boreal	2	33.59090909	Summer	1362	3.387499988	8.908333043	26.9949494	838.2994738	21.29999924	-11.69999981	32.99999905	12.48333319	-2.99999996	14.18333324	-6.516666571	572	82	26	36.96900107	216	86	208	104	07.06.2018	9.007440567	-0.369148672	LUCAS
Lucas0163	43162914	470.2825623	1.368381355	0	166.5882353	5	81.21917725	15.70932293	9.97735666	59.52340076	0.85461285	193.9857221	0.004405545	19.2550715	Lucas0163	CL_annual	Cropland	U111	U111	0-20	19	47	9	44	5.25	15.62	29.1	1	47	3.3	172.4	1.288814095	6	1.667425707	boreal	1	8.818181818	Spring	1633	8.216666731	7.883333478	30.67444899	678.146988	22.60000038	-3.099999905	25.70000029	14.98333335	3.816666715	16.63333352	0.01666671	845	85	57	12.0075934	236	189	227	216	27.05.2018	14.37269878	-0.391111583	LUCAS
Lucas0164	43182820	599.1402588	1.478037894	0	155.2941176	5	79.1875	15.02806711	9.137309928	68.59273469	0.776127613	361.6247403	0.002146224	9.477178423	Lucas0164	CL_annual	Cropland	U111	U111	0-20	4	23	4	73	5.11	18.75	15	1	34.7	1.9	112.6	1.282990744	7	1.648775492	continental	1	7.894736842	Spring	2665	7.69999995	8.133333242	31.04325631	682.5153964	22.10000038	-4.099999905	26.20000029	14.46666646	0.550000032	16.11666663	-0.633333286	861	105	52	23.69344955	287	160	286	170	28.05.2018	15.77338791	-0.696885228	LUCAS
Lucas0165	33042156	1095.384399	3.258449528	90	0	5	79.2615509	12.05958295	11.54139423	32.96235888	0.621839296	442.4697509	0.001405383	11.16472546	Lucas0165	CL_annual	Cropland	U111	U111	0-20	80	30	24	45	7.94	23.4	13.5	236	14.3	1.7	351.5	1.434413684	4	1.759038715	atlantic	1	7.941176471	Spring	1768	9.883333379	12.28333335	40.67328887	634.0968264	27.60000038	-2.599999905	30.20000029	11.31666678	18.16666667	18.16666667	2.76666673	504	64	27	25.22332525	163	89	89	130	27.05.2018	15.84403515	0.40251404	LUCAS
Lucas0166	45123664	63.21493149	0.96945632	0	45.17647059	5	16.78910446	14.70927811	8.74445456	52.51475344	0.683797568	137.1394011	0.00498615	15.31561462	Lucas0166	CL_annual	Cropland	U111	U111	0-20	21	12	58	30	5	24.06	22.1	0	45.5	2.1	48.1	1.205004884	1	0.351904391	alpine	1	10.52380952	Spring	998	7.508333355	6.666666667	28.86002928	631.1023303	20.39999962	-2.700000048	23.09999967	8.216666738	2.433333298	15.4666667	0.133333325	751	77	39	21.53779346	227	137	208	172	27.05.2018	10.78622055	-0.646463752	LUCAS
Lucas0167	42963748	31.92899323	0.297548421	0	350.1176471	5	18.60950089	14.38016701	8.917221822	57.19268939	0.963160803	229.0895806	0.004204298	9.72730296	Lucas0167	CL_annual	Cropland	U111	U111	0-20	32	2	88	9	6.12	8	35.7	1	52.5	2.4	91.2	1.360127522	7	0.392769846	continental	1	14.875	Spring	1776	7.50000001	7.366666694	31.89033083	598.0726651	20.20000076	-2.900000095	23.10000086	14.45000013	2.666666647	15	0.533333282	697	78	38	27.28597121	229	115	206	157	22.05.2018	10.31643486	-0.693973958	LUCAS
Lucas0168	50622776	103.6020737	0.603567888	0	136.9411765	5	55.86450577	19.77006102	11.25722157	45.93890802	0.505104044	223.9294595	0.002255639	16.12053351	Lucas0168	CL_annual	Cropland	U111	U111	0-20	21	41	6	53	6.69	10.58	26.3	4	10.3	2.4	215	1.255296239	6	1.058640159	boreal	1	10.95833333	Spring	2672	10.40833333	10.11666651	31.81341649	840.2349059	27.60000038	-4.199999809	31.80000019	18.9333334	1.633333365	20.5	-0.199999928	496	60	24	30.57345932	173	73	164	83	28.05.2018	9.006443977	-0.564781129	LUCAS
Lucas0169	40883024	514.3400269	0.95148979	0	357.1764706	5	89.67299652	13.65951753	9.097922451	61.72042546	3.179107726	799.1963729	0.003977881	23.59494513	Lucas0169	GL_managed	Grassland	U111	U111	0-20	2	36	6	58	6.59	18.93	52.7	4	25.1	5.4	166.3	0.863495793	4	1.921858632	atlantic	3	9.759259259	Spring	1796	7.662499976	7.758333262	32.46164435	607.1697648	21.20000076	-2.700000048	23.90000081	1.48333329	10.48333317	15.30000019	0.416666627	995	107	65	15.39927094	301	218	219	284	25.05.2018	16.47733116	-0.267845571	LUCAS
Lucas0170	42683042	561.0612793	2.605719818	5.126400082	230.1176471	5	89.38439941	14.31649208	9.692931828	61.45882215	2.41489118	714.8584956	0.003378139	27.68389662	Lucas0170	GL_managed	Grassland	U111	U111	0-20	5	27	14	59	5.73	21.4	45.9	1	16.8	4.6	396.3	0.866004698	6	1.889074939	boreal	3	9.97826087	Spring	1318	6.908333364	6.483333562	27.94540236	644.0173436	19.70000076	-3.5	23.20000076	0.20000006	10.08333323	14.86666679	-0.833333313	1215	138	79	17.20485686	370	258	287	345	22.05.2018	15.07671356	-0.352559	LUCAS
Lucas0171	43023370	35.1729126	0.597798925	0	187.7647059	5	28.54782295	16.2053299	9.837473769	59.51298081	0	172.8702461	0	2.534750613	Lucas0171	CL_annual	Cropland	U111	U111	0-20	7	6	68	26	6.61	11.06	12.8	1	50.3	1.2	172	1.279798392	6	0.580177453	boreal	1	10.66666667	Spring	1992	8.816666595	7.733333326	32.35704421	615.0695848	22.29999924	-1.600000024	23.89999926	16.51666657	4.383333415	16.51666657	1.483333326	752	73	43	15.18898938	213	149	213	178	22.05.2018	10.02234364	-0.557723939	LUCAS
Lucas0172	42462906	300.8674622	1.948786341	0	72	5	95.94328308	16.7224102	10.67426315	58.86449493	0.647081194	198.7117957	0.00325638	11.70248489	Lucas0172	CL_annual	Cropland	U111	U111	0-20	5	13	5	82	5.52	6.56	9.1	3	26.7	1.1	137.5	1.457700293	7	1.929578287	continental	1	8.272727273	Spring	1851	9.241666709	8.450000058	33.39920978	647.6805932	23.5	-1.799999952	25.29999995	5.216666758	5.050000072	17.35000006	1.450000028	924	93	60	12.83216254	257	205	231	242	27.05.2018	12.2326088	-0.494616121	LUCAS
Lucas0173	28002400	328.5904541	7.736110952	7.252246865	297.8823529	6	131.0271454	17.37230349	13.74789534	93.68143142	0.421240602	318.1666667	0.001323962	10.61827957	Lucas0173	CL_annual	Cropland	U120	U120	0-20	15	11	61	28	5.76	17.13	53.7	1	130.2	4.9	82.1	1.337434891	9	2.601174382	mediterranean	1	10.95918367	Summer	1595	12.89166677	7.500000079	42.85714565	377.5930557	22.79999924	5.300000191	17.49999905	9.349999984	17.53333346	17.76666673	8.51666681	1402	199	33	44.44772511	550	148	176	528	25.06.2018	20.51947212	1.10134542	LUCAS
Lucas0174	31721688	1309.950439	7.590281857	0	21.17647059	5	47.08485031	13.20894885	13.58226018	26.8927529	1.392067877	625.8627993	0.002224238	16.6858458	Lucas0174	GL_unmanaged	Grassland	U420	U420	0-20	41	26	28	45	8.06	23.4	21.7	150	5.9	2.4	253.2	0.968795233	4	1.018955234	atlantic	3	9.041666667	Spring	1036	12.20833328	13.96666649	40.13409739	729.3796738	32.90000153	-1.899999976	34.8000015	4.9833333	21.63333352	21.85000006	4.083333304	510	64	6	48.08640737	185	37	40	178	29.05.2018	5.412050247	0.61202991	LUCAS
Lucas0175	31022194	778.0525513	3.740544796	90	0	5	49.89280319	14.42981577	11.78149429	31.54548856	0.755590738	219.9207072	0.003435742	16.39642621	Lucas0175	CL_annual	Cropland	U111	U111	0-20	27	18	47	35	8.05	34.7	15.3	631	31.1	1.6	224.3	1.088262156	9	1.051929095	mediterranean	1	9.5625	Spring	1851	12.02916664	12.02499998	39.95016705	644.8483214	29.79999924	-0.300000012	30.09999925	8.216666718	20.29999987	20.3166666	4.649999887	438	52	17	32.61034105	142	60	74	125	30.05.2018	11.28930473	0.488181621	LUCAS
Lucas0176	43083770	4.133025169	0.247852595	0	327.5294118	5	19.1727581	14.36049843	9.074987863	54.76722517	0.297224709	139.6757983	0.002127961	8.035567265	Lucas0176	CL_annual	Cropland	U111	U111	0-20	6	3	91	6	5.65	7.61	18.9	0	27	1.8	116.6	1.577918773	6	0.404825936	boreal	1	10.5	Spring	1680	7.587499954	7.141666656	31.18631844	598.612497	20.29999924	-2.599999905	22.89999914	12.10000006	2.683333437	15.13333321	0.650000006	621	72	32	24.57319069	201	105	172	135	22.05.2018	13.1395216	-0.459070504	LUCAS
Lucas0177	47942860	207.6307068	2.151561247	5.126400082	80.47058824	5	54.37985992	18.69331598	10.75016564	41.93053266	0.849346219	309.6024256	0.002743345	12.96387927	Lucas0177	CL_annual	Cropland	U111	U111	0-20	10	28	27	44	7.77	22.3	16.6	2	10.5	1.9	279	1.248801689	6	1.051970818	boreal	1	8.736842105	Spring	3546	9.887499998	8.60833325	29.480594	779.7060206	25.79999924	-3.400000095	29.19999933	19.39999994	1.816666702	19.39999994	0.099999984	545	75	27	35.87937597	206	88	206	88	19.05.2018	10.95034409	-0.658359289	LUCAS
